length	diameter
47.73	23.29
57.17	23.31
44.04	23.35
60.33	23.37
61.02	23.42
62.44	23.45
54.94	23.5
68.64	23.53
54.01	23.53
64.06	23.53
54.46	23.59
52.08	23.61
54.75	23.73
72.15	23.75
61.94	23.78
53.52	23.78
53.93	23.81
53.69	23.86
58.87	23.86
62.56	23.88
61.18	23.95
52.47	23.99
65.19	24.04
59.46	24.07
50.64	24.17
54.29	24.21
52.68	24.22
54.29	24.31
51.25	24.34
54.44	24.43
61.64	24.45
53.73	24.49
51.4	24.53
51.35	24.54
61.65	24.54
63.62	24.54
58.34	24.56
48.7	24.57
58.7	24.61
59.99	24.85
58.75	24.87
54.13	25.02
54.76	25.07
60.71	25.07
57.91	25.1
51.81	25.17
56.29	25.34
51.55	25.53
54.85	25.57
48.56	25.62
49.04	25.63
54.36	25.76
54.46	25.8
58.7	25.96
58.54	25.98
59.23	26.05
60.62	26.2
46.1	26.3
52.05	26.54
58.04	26.55
50.5	26.58
51.35	26.62
55.18	26.78
47.9	26.82
55.23	26.91
57.61	27.32
45.47	27.39
55.71	27.54
20.1	7.953
25.13	8.501
28.44	8.509
47.02	8.553
44.36	8.618
39.43	8.64
32.48	8.848
34.86	8.855
44.8	8.869
41.87	9.023
43.05	9.023
25.92	9.044
43.33	9.071
37.09	9.099
42.82	9.208
36.93	9.263
38.57	9.29
51.26	9.29
37.68	9.29
37.78	9.29
40.37	9.424
42.78	9.51
42.19	9.523
46.29	9.562
41.95	9.666
45.68	9.909
37.19	9.966
40.22	9.972
36.26	10.12
46.88	10.26
41.79	10.27
44.06	10.29
33.63	10.32
43.27	10.36
42.54	10.41
45.87	10.45
45.05	10.62
48.56	10.62
42.54	10.71
38.79	10.76
47.55	10.76
41.84	10.76
51.22	10.83
43.64	10.93
44.24	10.98
49.7	11.02
49.36	11.26
44.18	11.29
41.6	11.33
42.15	11.33
37.88	11.35
47.6	11.52
50.65	11.59
54.88	11.68
43.77	11.7
40.25	11.9
38.31	11.9
36.6	11.94
51.32	12.03
51.82	12.08
50.76	12.11
48.69	12.11
45.38	12.18
53.58	12.19
41.73	12.2
51.87	12.26
40.08	12.27
36.32	12.29
38.31	12.29
43.67	12.38
48.14	12.39
46.57	12.45
53.86	12.51
52	12.65
52.07	12.65
41.65	12.69
52.12	12.76
47.49	12.76
44.83	12.77
53.8	12.77
47.33	12.78
49.3	12.78
42.8	12.83
45.78	12.88
49.12	12.88
46.7	12.99
50.09	12.99
51.82	13.01
49.57	13.02
53.22	13.05
32.79	13.1
48.8	13.1
54.17	13.1
51.33	13.13
49.97	13.17
44.49	13.25
52.06	13.27
47.86	13.27
43.24	13.3
49.7	13.36
42.21	13.38
48.33	13.4
53.84	13.47
51.71	13.48
47.32	13.48
48.09	13.52
49.71	13.55
44.39	13.6
50.05	13.62
48.47	13.62
50.91	13.67
54.98	13.67
47.9	13.77
48.64	13.78
52.07	13.78
58.05	13.78
49.38	13.78
48.53	13.82
53.9	13.82
43.07	13.92
54.02	13.95
54.93	13.96
56.1	13.96
45.41	14.02
50.81	14.09
59.29	14.09
46.82	14.14
38.94	14.16
50.85	14.32
50.57	14.32
53.21	14.41
48.89	14.44
50.16	14.45
55.21	14.51
43.97	14.56
48.93	14.59
46.55	14.65
50.59	14.66
52.13	14.72
57.23	14.73
48.95	14.73
52.38	14.79
53.14	14.87
48.66	14.89
51.32	14.9
50.38	14.93
45.99	15.02
45.44	15.06
47.68	15.06
55.01	15.07
38.66	15.09
52.42	15.12
49.97	15.12
51.06	15.2
52.49	15.22
42.28	15.27
55.87	15.27
46.56	15.27
52.57	15.28
52.62	15.31
47.66	15.35
46.37	15.43
48	15.48
50.18	15.68
48.99	15.72
45.78	15.78
46.99	15.83
51.87	15.85
47.85	16.02
49.17	16.14
49.16	16.42
46.72	16.92
44.23	16.99
